# Matrix: para-7
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/para-7.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 08:35:31
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 155924
# Cols: 155924
# NNZ(A): 5416358
# NNZ(C) estimate: 265536544
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 59.64     88.95     71.32     12.67     232.59       2.28      | 16476374 0        0        1256330  1843     | 1      34457603       78088896     -       
8      8      1      1/8    | 59.57     86.49     71.42     12.76     230.27       2.31      | 16476374 0        0        1256330  1843     | 8      34457603       78088896     -       
8      8      2      2/8    | 59.66     86.96     65.63     12.62     224.89       2.36      | 16476374 0        754918   501412   1843     | 16     34457603       78088896     -       
8      8      3      3/8    | 59.41     91.44     62.31     12.62     225.80       2.35      | 16476374 0        1060636  195694   1843     | 24     34457603       78088896     -       
8      8      4      4/8    | 59.29     87.65     62.94     12.87     222.77       2.38      | 16476374 0        1186897  69433    1843     | 32     34457603       78088896     -       
8      8      5      5/8    | 59.35     87.17     59.52     12.47     218.54       2.43      | 16476374 0        1229774  26556    1843     | 40     34457603       78088896     -       
8      8      6      6/8    | 59.38     87.62     59.13     12.75     218.90       2.43      | 16476374 0        1247654  8676     1843     | 48     34457603       78088896     -       
8      8      7      7/8    | 59.03     86.73     59.17     12.90     217.85       2.44      | 16476374 0        1255158  1172     1843     | 56     34457603       78088896     -       
8      8      8      8/8    | 59.64     86.77     59.29     12.40     218.12       2.43      | 16476374 0        1258173  0        0        | 64     34457603       78088896     -       
8      16     0      0/8    | 73.26     115.50    77.11     12.86     278.75       1.91      | 16476374 0        0        1256330  1843     | 1      45465903       78088896     -       
8      16     1      1/8    | 73.17     120.70    77.13     13.84     284.87       1.86      | 16476374 0        0        1256330  1843     | 8      45465903       78088896     -       
8      16     2      2/8    | 73.11     117.84    67.91     12.60     271.49       1.96      | 16476374 0        754918   501412   1843     | 16     45465903       78088896     -       
8      16     3      3/8    | 72.94     117.87    62.89     12.78     266.50       1.99      | 16476374 0        1060636  195694   1843     | 24     45465903       78088896     -       
8      16     4      4/8    | 73.86     114.31    62.48     12.69     263.35       2.02      | 16476374 0        1186897  69433    1843     | 32     45465903       78088896     -       
8      16     5      5/8    | 74.00     120.45    59.23     13.27     266.97       1.99      | 16476374 0        1229774  26556    1843     | 40     45465903       78088896     -       
8      16     6      6/8    | 72.92     118.00    58.77     12.82     262.52       2.02      | 16476374 0        1247654  8676     1843     | 48     45465903       78088896     -       
8      16     7      7/8    | 74.00     118.58    58.57     12.75     263.93       2.01      | 16476374 0        1255158  1172     1843     | 56     45465903       78088896     -       
8      16     8      8/8    | 73.98     117.37    58.60     12.82     262.79       2.02      | 16476374 0        1258173  0        0        | 64     45465903       78088896     -       
8      32     0      0/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     1      1/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     2      2/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     3      3/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     4      4/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     5      5/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     6      6/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     7      7/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     8      8/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
16     8      0      0/8    | 7.42      62.24     71.99     2.55      144.22       3.68      | 10471688 0        0        272172   54       | 1      18652814       78088896     -       
16     8      1      1/8    | 7.51      62.37     72.03     2.55      144.49       3.68      | 10471688 0        0        272172   54       | 32     18652814       78088896     -       
